Feature,Feature_Subset,SHAP_Value,Adjusted_Probability,Probability_Change_Perc,Feature_Importance,Importance_Rank
callwaitingcalls,"(1.0, 2.0]",-0.01172332,0.28482038,-0.23940206,0.018539544,37
callwaitingcalls,"(2.0, 4.7]",-0.01612362,0.28392488,-0.32895207,0.018539544,37
callwaitingcalls,"(4.7, 212.7]",-0.042623986,0.27856803,-0.8646369,0.018539544,37
incomegroup,"(-0.001, 2.0]",0.016909417,0.29068857,0.3474176,0.014595351,38
incomegroup,"(2.0, 4.0]",0.0001616807,0.2872475,0.003311038,0.014595351,38
incomegroup,"(4.0, 5.0]",0.002561373,0.28773907,0.05246699,0.014595351,38
incomegroup,"(5.0, 6.0]",-0.0028769432,0.28662577,-0.058862567,0.014595351,38
incomegroup,"(6.0, 7.0]",0.0032946689,0.28788936,0.0674963,0.014595351,38
incomegroup,"(7.0, 9.0]",-0.02933957,0.28124562,-0.59687793,0.014595351,38
unansweredcalls,"(-0.001, 0.3]",0.013404511,0.2899664,0.2752006,0.014316012,39
unansweredcalls,"(0.3, 3.7]",0.009424568,0.28914768,0.19332767,0.014316012,39
unansweredcalls,"(11.3, 16.3]",0.008341917,0.2889252,0.17108023,0.014316012,39
unansweredcalls,"(16.3, 22.3]",0.00648186,0.28854322,0.1328826,0.014316012,39
unansweredcalls,"(22.3, 31.0]",0.009448254,0.28915253,0.19381344,0.014316012,39
unansweredcalls,"(3.7, 7.0]",0.00067494356,0.2873526,0.013819337,0.014316012,39
unansweredcalls,"(31.0, 43.7]",0.013807779,0.29004943,0.28350353,0.014316012,39
unansweredcalls,"(43.7, 68.3]",0.0016512787,0.28755257,0.033816695,0.014316012,39
unansweredcalls,"(68.3, 840.0]",0.006770846,0.28860253,0.13881326,0.014316012,39
unansweredcalls,"(7.0, 11.3]",0.010471281,0.28936288,0.21484792,0.014316012,39
service_city,air,0.04583684,0.29668897,0.94745755,0.12060337,4
service_city,apc,-0.19014332,0.24990949,-3.7304907,0.12060337,4
service_city,ath,-0.23570283,0.24146684,-4.574756,0.12060337,4
service_city,atl,-0.055397127,0.27600834,-1.1206061,0.12060337,4
service_city,awi,-0.34304172,0.22235525,-6.485915,0.12060337,4
service_city,bir,-0.18912846,0.25009978,-3.711462,0.12060337,4
service_city,bos,0.052114002,0.29800045,1.0786057,0.12060337,4
service_city,chi,0.03504247,0.29444152,0.7227123,0.12060337,4
service_city,dal,-0.09148305,0.26885596,-1.8358439,0.12060337,4
service_city,den,0.34576917,0.3628114,7.559699,0.12060337,4
service_city,det,-0.09823043,0.26753166,-1.9682735,0.12060337,4
service_city,fln,0.11299832,0.3108918,2.3677409,0.12060337,4
service_city,gcw,0.29275844,0.3506477,6.343329,0.12060337,4
service_city,har,-0.091013975,0.2689482,-1.8266201,0.12060337,4
service_city,hop,0.26751965,0.3449229,5.77085,0.12060337,4
service_city,hou,-0.08862082,0.26941895,-1.7795444,0.12060337,4
service_city,hwi,0.33185956,0.35960194,7.2387547,0.12060337,4
